meta_country,strategy_and_policy,human_capital_capacity,infrastructure_readiness,governance_and_leadership,utilization,total
Lithuania,0.642857142857,0.875,0.0,0.923076923077,0.97619047619,3.41712454212
Luxembourg,0.357142857143,0.1875,0.0,0.846153846154,0.642857142857,2.03365384615
Latvia,0.428571428571,0.75,0.0,0.846153846154,0.619047619048,2.64377289377
Morocco,0.571428571429,0.25,0.0,0.307692307692,0.428571428571,1.55769230769
Republic of Moldova,0.642857142857,0.5625,0.0,0.461538461538,0.595238095238,2.26213369963
Madagascar,0.142857142857,0.3125,0.0,0.0,0.428571428571,0.883928571429
Maldives,0.214285714286,0.1875,0.0,0.230769230769,0.214285714286,0.846840659341
Mexico,0.642857142857,0.6875,0.0,0.923076923077,0.714285714286,2.96771978022
Mali,0.571428571429,0.375,0.0,0.0769230769231,0.571428571429,1.59478021978
Malta,0.142857142857,0.3125,0.0,0.615384615385,0.428571428571,1.49931318681
Montenegro,0.285714285714,0.0625,0.0,0.384615384615,0.404761904762,1.13759157509
Mongolia,0.928571428571,0.75,0.0,0.923076923077,0.714285714286,3.31593406593
Mauritania,0.285714285714,0.25,0.0,0.230769230769,0.285714285714,1.0521978022
Malawi,0.5,0.3125,0.0,0.153846153846,0.690476190476,1.65682234432
Malaysia,0.928571428571,0.3125,0.0,0.923076923077,0.785714285714,2.94986263736
Niger,0.285714285714,0.5625,0.0,0.153846153846,0.642857142857,1.64491758242
Netherlands,0.571428571429,0.875,0.0,0.846153846154,0.761904761905,3.05448717949
Norway,0.571428571429,0.875,0.0,0.538461538462,0.809523809524,2.79441391941
New Zealand,0.571428571429,0.875,0.0,0.769230769231,0.690476190476,2.90613553114
Oman,0.5,0.8125,0.0,0.230769230769,0.761904761905,2.30517399267
Pakistan,0.5,0.3125,0.0,0.153846153846,0.857142857143,1.82348901099
Panama,0.285714285714,0.375,0.0,0.230769230769,0.619047619048,1.51053113553
Peru,0.214285714286,0.5,0.0,0.769230769231,0.619047619048,2.10256410256
Philippines,0.5,0.4375,0.0,0.384615384615,0.619047619048,1.94116300366
Poland,0.5,0.875,0.0,0.384615384615,0.380952380952,2.14056776557
Democratic People s Republic of Korea,0.714285714286,0.75,0.0,0.307692307692,0.309523809524,2.0815018315
Portugal,0.428571428571,0.5,0.0,0.846153846154,0.809523809524,2.58424908425
Paraguay,0.571428571429,0.625,0.0,0.846153846154,0.738095238095,2.78067765568
Qatar,0.357142857143,0.8125,0.0,0.230769230769,0.285714285714,1.68612637363
Romania,0.0,0.0,0.0,0.692307692308,0.190476190476,0.882783882784
Russian Federation,0.785714285714,0.1875,0.0,0.461538461538,0.857142857143,2.2918956044
Rwanda,0.428571428571,0.5625,0.0,0.0,0.261904761905,1.25297619048
Sudan,0.571428571429,0.0625,0.0,0.307692307692,0.333333333333,1.27495421245
Senegal,0.428571428571,0.75,0.0,0.384615384615,0.690476190476,2.25366300366
Singapore,0.642857142857,0.4375,0.0,0.692307692308,0.928571428571,2.70123626374
El Salvador,0.285714285714,0.4375,0.0,0.230769230769,0.52380952381,1.47779304029
San Marino,0.214285714286,0.0,0.0,0.307692307692,0.238095238095,0.760073260073
Somalia,0.142857142857,0.375,0.0,0.153846153846,0.0714285714286,0.743131868132
Serbia,0.214285714286,0.0,0.0,0.0769230769231,0.0714285714286,0.362637362637
South Sudan,0.142857142857,0.0,0.0,0.0,0.047619047619,0.190476190476
Slovenia,0.357142857143,0.875,0.0,0.769230769231,0.5,2.50137362637
Sweden,0.285714285714,0.875,0.0,0.615384615385,0.714285714286,2.49038461538
Seychelles,0.285714285714,0.0625,0.0,0.692307692308,0.5,1.54052197802
Syrian Arab Republic,0.142857142857,0.0625,0.0,0.230769230769,0.238095238095,0.674221611722
Tajikistan,0.357142857143,0.6875,0.0,0.230769230769,0.761904761905,2.03731684982
Turkmenistan,0.428571428571,0.3125,0.0,0.384615384615,0.47619047619,1.60187728938
Timor-Leste,0.428571428571,0.0,0.0,0.0769230769231,0.333333333333,0.838827838828
Trinidad and Tobago,0.357142857143,0.125,0.0,0.538461538462,0.52380952381,1.54441391941
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.142857142857,0.0625,0.0,0.846153846154,1.0,2.05151098901
Uganda,0.571428571429,0.8125,0.0,0.461538461538,0.690476190476,2.53594322344
Ukraine,0.571428571429,0.6875,0.0,0.153846153846,0.547619047619,1.96039377289
Uruguay,0.357142857143,0.875,0.0,0.846153846154,0.738095238095,2.81639194139
United States of America,0.357142857143,0.125,0.0,0.692307692308,0.5,1.67445054945
Uzbekistan,0.714285714286,0.625,0.0,0.615384615385,0.809523809524,2.76419413919
Viet Nam,0.571428571429,0.5,0.0,0.153846153846,0.357142857143,1.58241758242
South Africa,0.428571428571,0.0625,0.0,0.307692307692,0.309523809524,1.10828754579
Zambia,0.285714285714,0.25,0.0,0.230769230769,0.52380952381,1.29029304029
Zimbabwe,0.571428571429,0.875,0.0,0.153846153846,0.690476190476,2.29075091575
